,City,Country,Max Temp,Lat,Lng,Description,Hotel Name
817,Kuliyapitiya,LK,78.48,7.4688,80.0401,overcast clouds,
824,Dabhol,IN,74.43,17.6,73.1667,overcast clouds,
826,Mehkar,IN,72.39,20.1508,76.569,light rain,
828,Hithadhoo,MV,82.27,-0.6,73.0833,scattered clouds,
837,Damietta,EG,73.63,31.4165,31.8133,clear sky,
840,Kouango,CF,70.72,4.9934,19.9619,moderate rain,
844,Benghazi,LY,73.29,32.1167,20.0667,clear sky,
855,Pindiga,NG,73.58,9.9833,10.9333,overcast clouds,
860,Bandar-E Lengeh,IR,84.31,26.5579,54.8807,mist,
862,Bettiah,IN,72.1,26.8,84.5,overcast clouds,
868,Abomsa,ET,72.81,9.9833,39.9833,light rain,
872,Cairo,EG,74.16,30.0626,31.2497,scattered clouds,
877,Wajir,KE,74.88,1.7471,40.0573,few clouds,
888,Porbandar,IN,79.95,21.6422,69.6093,scattered clouds,
895,Niamey,NE,79.09,13.5137,2.1098,clear sky,
896,Sinjar,IQ,77.81,36.3209,41.8754,clear sky,
900,Umarkot,PK,80.37,25.3616,69.7362,clear sky,
